name,ft_active,ft_seq,ft_vert,ft_seq_index,ft_vert_index,ft_order,pt_active,pt_seq,pt_vert,pt_seq_index,pt_vert_index,pt_order,tag,file
Code of Conduct during the bootcamp,TRUE,Tips & tricks for success,Info tabs,0,0,0,TRUE,Tips & tricks for success,Info tabs,0,0,0,EXTRA,info/code-of-conduct.md
Link to  the GitHub class organization,TRUE,Tips & tricks for success,Info tabs,0,0,1,TRUE,Tips & tricks for success,Info tabs,0,0,1,EXTRA,info/gh-class-rg.m
Guidelines on how to submit the labs,TRUE,Tips & tricks for success,Info tabs,0,0,2,TRUE,Tips & tricks for success,Info tabs,0,0,2,EXTRA,info/guidelines-labs.md
No class dates,TRUE,Tips & tricks for success,Info tabs,0,0,3,TRUE,Tips & tricks for success,Info tabs,0,0,3,EXTRA,info/no-class-dates.md
Contacts,TRUE,Tips & tricks for success,Info tabs,0,0,4,TRUE,Tips & tricks for success,Info tabs,0,0,4,EXTRA,info/contacts.md
Career Services,TRUE,Tips & tricks for success,Info tabs,0,0,5,TRUE,Tips & tricks for success,Info tabs,0,0,5,EXTRA,info/career.md
Technical interview prep,TRUE,Tips & tricks for success,Info tabs,0,0,6,TRUE,Tips & tricks for success,Info tabs,0,0,6,EXTRA,other/tech-interviews.md
Upcoming events,TRUE,Tips & tricks for success,Info tabs,0,0,7,TRUE,Tips & tricks for success,Info tabs,0,0,7,EXTRA,info/events.md
Time distribution,TRUE,Tips & tricks for success,Module 1,0,1,0,FALSE,,,,,,EXTRA,info/ft-time-dist-m1.md
Time distribution,FALSE,,,,,,TRUE,Tips & tricks for success,Module 1,0,1,0,EXTRA,info/pt-time-dist-m1.md
Module 1 - topics - overview,TRUE,Tips & tricks for success,Module 1,0,1,1,TRUE,Tips & tricks for success,Module 1,0,1,1,EXTRA,info/topics-m1.md
Expectations,TRUE,Tips & tricks for success,Module 1,0,1,2,TRUE,Tips & tricks for success,Module 1,0,1,2,EXTRA,info/expectations.md
Requirements for win-win,TRUE,Tips & tricks for success,Module 1,0,1,3,TRUE,Tips & tricks for success,Module 1,0,1,3,EXTRA,info/requirements-m1.md
Time distribution,TRUE,Tips & tricks for success,Module 2,0,2,0,FALSE,,,,,,EXTRA,info/ft-time-dist-m2.md
Time distribution,FALSE,,,,,,TRUE,Tips & tricks for success,Module 2,0,2,0,EXTRA,info/pt-time-dist-m2.md
Module 2 - topics - overview,TRUE,Tips & tricks for success,Module 2,0,2,1,TRUE,Tips & tricks for success,Module 2,0,2,1,EXTRA,info/topics-m2.md
Expectations,TRUE,Tips & tricks for success,Module 2,0,2,2,TRUE,Tips & tricks for success,Module 2,0,2,2,EXTRA,info/expectations.md
Requirements for win-win,TRUE,Tips & tricks for success,Module 2,0,2,3,TRUE,Tips & tricks for success,Module 2,0,2,3,EXTRA,info/requirements-m2.md
Time distribution,TRUE,Tips & tricks for success,Module 3,0,3,0,FALSE,,,,,,EXTRA,info/ft-time-dist-m3.md
Time distribution,FALSE,,,,,,TRUE,Tips & tricks for success,Module 3,0,3,0,EXTRA,info/pt-time-dist-m3.md
Module 3 - topics - overview,TRUE,Tips & tricks for success,Module 3,0,3,1,TRUE,Tips & tricks for success,Module 3,0,3,1,EXTRA,info/topics-m3.md
Expectations,TRUE,Tips & tricks for success,Module 3,0,3,2,TRUE,Tips & tricks for success,Module 3,0,3,2,EXTRA,info/expectations.md
Requirements for win-win,TRUE,Tips & tricks for success,Module 3,0,3,3,TRUE,Tips & tricks for success,Module 3,0,3,3,EXTRA,info/requirements-m3.md
JS | JavaScript Intro,TRUE,Week 1,Day 1,1,0,0,TRUE,Week 1,Halfday 1,1,0,0,,module-1/week-1/js-intro.md
JS | Data Types in JavaScript - number & string,TRUE,Week 1,Day 1,1,0,1,TRUE,Week 1,Halfday 1,1,0,1,,module-1/week-1/js-datatypes-1.md
"JS | Data Types in JavaScript - boolean, undefined & null and Immutability",TRUE,Week 1,Day 1,1,0,2,TRUE,Week 1,Halfday 2,1,1,0,,module-1/week-1/js-datatypes-2.md
JS | Numbers as Data Types - Advanced Topics,TRUE,Week 1,Day 1,1,0,3,TRUE,Week 1,Halfday 2,1,1,1,SELF_GUIDED,module-1/week-1/numbers-advanced.md
JS | Conditionals and Loops,TRUE,Week 1,Day 1,1,0,4,TRUE,Week 1,Halfday 2,1,1,2,,module-1/week-1/js-conditionals-loops.md
VCS | Git Intro,TRUE,Week 1,Day 1,1,0,5,TRUE,Week 1,Halfday 2,1,1,3,,module-1/week-1/self-guided/git-intro.md
Pair Programming Introduction,TRUE,Week 1,Day 1,1,0,6,TRUE,Week 1,Halfday 2,1,1,4,,module-1/week-1/self-guided/pair-programming.md
LAB | JavaScript Basic Algorithms,TRUE,Week 1,Day 1,1,0,7,TRUE,Week 1,Halfday 2,1,1,5,LAB,module-1/labs/lab-javascript-basic-algorithms.md
JS | Data Types in JavaScript - Arrays,TRUE,Week 1,Day 2,1,1,0,TRUE,Week 1,Halfday 3,1,2,0,,module-1/week-1/js-arrays.md
JS | Functions Intro,TRUE,Week 1,Day 2,1,1,1,TRUE,Week 1,Halfday 3,1,2,1,,module-1/week-1/js-functions-intro.md
LAB | JavaScript Functions and Arrays,TRUE,Week 1,Day 2,1,1,2,TRUE,Week 1,Halfday 3,1,2,2,LAB,module-1/labs/lab-javascript-functions-and-arrays.md
HTML | Introduction,TRUE,Week 1,Day 2,1,1,3,TRUE,Week 1,Halfday 4,1,3,0,,module-1/week-1/html-intro.md
CSS | Intro & Selectors,TRUE,Week 1,Day 2,1,1,4,TRUE,Week 1,Halfday 4,1,3,1,,module-1/week-1/css-intro.md
LAB | CSS Recipes clone,TRUE,Week 1,Day 2,1,1,5,TRUE,Week 1,Halfday 4,1,3,2,LAB,module-1/labs/lab-css-recipes-clone.md
CodeWars - Intro,TRUE,Week 1,Day 2,1,1,6,TRUE,Week 1,Halfday 4,1,3,3,KATA,module-1/week-1/self-guided/codewars.md
JS | Data Types in JavaScript - Objects,TRUE,Week 1,Day 3,1,2,0,TRUE,Week 2,Halfday 1,2,0,0,,module-1/week-1/js-objects.md
JS | Arrays & Objects,TRUE,Week 1,Day 3,1,2,1,TRUE,Week 2,Halfday 1,2,0,1,,module-1/week-1/js-objects-arrays.md
LAB | JavaScript Clue,TRUE,Week 1,Day 3,1,2,2,TRUE,Week 2,Halfday 1,2,0,2,LAB,module-1/labs/lab-javascript-clue.md
CSS | Advanced Selectors,TRUE,Week 1,Day 3,1,2,3,TRUE,Week 2,Halfday 2,2,1,0,,module-1/week-1/css-advanced-selectors.md
CSS | Transitions & Animations,TRUE,Week 1,Day 3,1,2,4,TRUE,Week 2,Halfday 2,2,1,1,,module-1/week-1/css-transitions-animations.md
LAB | CSS Spotify clone,TRUE,Week 1,Day 3,1,2,5,TRUE,Week 2,Halfday 2,2,1,2,LAB,module-1/labs/lab-css-spotify-clone.md
CodeWars,TRUE,Week 1,Day 4,1,3,0,TRUE,Week 2,Halfday 3,2,2,0,KATA,module-1/week-1/self-guided/codewars.md
JS | Functions Advanced,TRUE,Week 1,Day 4,1,3,1,TRUE,Week 2,Halfday 3,2,2,1,,module-1/week-1/js-functions-advanced.md
"JS | Arrays - Map, Reduce & Filter",TRUE,Week 1,Day 4,1,3,2,TRUE,Week 2,Halfday 3,2,2,2,,module-1/week-1/js-arrays-filter-map-reduce.md
JS | Arrays - Sort & Reverse,TRUE,Week 1,Day 4,1,3,3,TRUE,Week 2,Halfday 4,2,3,0,,module-1/week-1/js-arrays-sort-reverse.md
LAB | Greatest movies of all time,TRUE,Week 1,Day 4,1,3,4,TRUE,Week 2,Halfday 4,2,3,1,LAB,module-1/labs/lab-javascript-greatest-movies.md
JS | Value vs Reference and Mutable Data Types,TRUE,Week 1,Day 4,1,3,5,TRUE,Week 2,Halfday 4,2,3,2,SELF_GUIDED,module-1/week-1/value-reference-mutability.md
"JS | OOP - objects, methods and the 'this' keyword",TRUE,Week 1,Day 5,1,4,0,TRUE,Week 3,Halfday 1,3,0,0,,module-1/week-1/js-oop-1.md
JS | OOP - class and inheritance,TRUE,Week 1,Day 5,1,4,1,TRUE,Week 3,Halfday 1,3,0,1,,module-1/week-1/js-oop-2.md
JS | OOP - Function constructor vs. Class,TRUE,Week 1,Day 5,1,4,2,TRUE,Week 3,Halfday 1,3,0,2,SELF_GUIDED,module-1/week-1/js-oop-3.md
LAB | JavaScript Vikings,TRUE,Week 1,Day 5,1,4,3,TRUE,Week 3,Halfday 2,3,1,0,LAB,module-1/labs/lab-javascript-vikings.md
Reinforcement session,TRUE,Week 1,Day 5,1,4,4,TRUE,Week 3,Halfday 2,3,1,1,,module-1/week-1/recap.md
Semi-module retrospective,TRUE,Week 1,Day 5,1,4,5,TRUE,Week 3,Halfday 2,3,1,2,,other/module-retro.md'
CSS | Box Model,TRUE,Week 2,Day 1,2,0,0,TRUE,Week 3,Halfday 3,3,2,0,,module-1/week-1/css-box-model.md
Bonus: CSS | Positioning,TRUE,Week 2,Day 1,2,0,1,TRUE,Week 3,Halfday 3,3,2,1,SELF_GUIDED,module-1/week-1/css-positioning.md
CSS | Responsive Web Design,TRUE,Week 2,Day 1,2,0,2,TRUE,Week 3,Halfday 3,3,2,2,,module-1/week-1/css-responsive-design.md
CSS | Flexbox,TRUE,Week 2,Day 1,2,0,3,TRUE,Week 3,Halfday 3,3,2,3,,module-1/week-1/css-flexbox.md
LAB | CSS Instagram clone,TRUE,Week 2,Day 1,2,0,4,TRUE,Week 3,Halfday 3,3,2,4,LAB,module-1/labs/lab-css-instagram-clone.md
Bonus: LAB | CSS Flexbox Slack,TRUE,Week 2,Day 1,2,0,5,TRUE,Week 3,Halfday 3,3,2,5,SELF_GUIDED,module-1/labs/lab-css-flexbox-slack.md
"JS | Variable scope, hoisting and shadowing",TRUE,Week 2,Day 1,2,0,6,TRUE,Week 3,Halfday 4,3,3,0,,module-1/week-2/js-scope-hoist-shadow.md
"JS | Debugging, Error Handling and JS Hint",TRUE,Week 2,Day 1,2,0,7,TRUE,Week 3,Halfday 4,3,3,1,,module-1/week-2/js-debugging.md
JS | Async & Callbacks,TRUE,Week 2,Day 1,2,0,8,TRUE,Week 3,Halfday 4,3,3,2,,module-1/week-2/js-async-callbacks.md
LAB | JavaScript Chronometer,TRUE,Week 2,Day 1,2,0,9,TRUE,Week 3,Halfday 4,3,3,3,LAB,module-1/labs/lab-javascript-chronometer.md
Bonus: LAB | JavaScript Koans,TRUE,Week 2,Day 1,2,0,10,TRUE,Week 3,Halfday 4,3,3,4,SELF_GUIDED,module-1/labs/lab-javascript-koans.md
Bonus: JS | Context & Function invocation,TRUE,Week 2,Day 1,2,0,11,TRUE,Week 3,Halfday 4,3,3,5,SELF_GUIDED,module-1/week-2/js-context-function-invocation.md
DOM | Introduction & Selectors,TRUE,Week 2,Day 2,2,1,0,TRUE,Week 4,Halfday 1,4,0,0,,module-1/week-1/dom-introduction-selectors.md
DOM | Manipulation,TRUE,Week 2,Day 2,2,1,1,TRUE,Week 4,Halfday 1,4,0,1,,module-1/week-1/dom-manipulation.md
LAB | DOM Ironhack Cart,TRUE,Week 2,Day 2,2,1,2,TRUE,Week 4,Halfday 1,4,0,2,LAB,module-1/labs/lab-dom-ironhack-cart.md
Bonus: DOM | Simon Game,TRUE,Week 2,Day 2,2,1,3,TRUE,Week 4,Halfday 1,4,0,3,SELF_GUIDED,module-1/week-2/simon-game.md
JS | Testing & Jasmine,TRUE,Week 2,Day 2,2,1,4,TRUE,Week 4,Halfday 2,4,1,0,,module-1/week-2/js-testing-jasmine.md
JS | Intro to testing with Jasmine,TRUE,Week 2,Day 2,2,1,5,TRUE,Week 4,Halfday 2,4,1,1,LAB,module-1/labs/lab-testing-jasmine.md
Bonus: LAB | JavaScript Advanced Algorithms,TRUE,Week 2,Day 2,2,1,6,TRUE,Week 4,Halfday 2,4,1,2,SELF_GUIDED,module-1/labs/lab-javascript-advanced-algorithms.md
Lab review - reinforcement of DOM manipulation concept,TRUE,Week 2,Day 3,2,2,0,TRUE,Week 4,Halfday 3,4,2,0,,module-1/week-1/dom-reinforcement.md
CSS | Bootstrap Docs,TRUE,Week 2,Day 3,2,2,1,TRUE,Week 4,Halfday 3,4,2,1,,module-1/week-2/css-bootstrap-intro.md
Bonus: CSS - Style Normalizing & Grid Systems,TRUE,Week 2,Day 3,2,2,2,TRUE,Week 4,Halfday 3,4,2,2,SELF_GUIDED,module-1/week-2/css-grid-systems.md
LAB | Bootstrap Cloning Revera,TRUE,Week 2,Day 3,2,2,3,TRUE,Week 4,Halfday 3,4,2,3,LAB,module-1/labs/lab-bootstrap-cloning-revera.md
Reinforcement - DOM: LAB | DOM Pizza Builder,TRUE,Week 2,Day 3,2,2,4,TRUE,Week 4,Halfday 4,4,3,0,LAB,module-1/labs/lab-dom-pizza-builder.md
Reinforcement - OOP: LAB | JavaScript Memory Game,TRUE,Week 2,Day 3,2,2,5,TRUE,Week 4,Halfday 4,4,3,1,LAB,module-1/labs/lab-javascript-memory-game.md
Canvas | Intro & Basic Drawing,TRUE,Week 2,Day 4,2,3,0,TRUE,Week 5,Halfday 1,5,0,0,,module-1/week-2/canvas-intro.md
"Canvas | Styling, Text and Images",TRUE,Week 2,Day 4,2,3,1,TRUE,Week 5,Halfday 1,5,0,1,,module-1/week-2/canvas-drawing-text-styles.md
LAB | Canvas Hangman,TRUE,Week 2,Day 4,2,3,2,TRUE,Week 5,Halfday 1,5,0,2,LAB,module-1/labs/lab-canvas-hangman.md
Canvas | Basic Animations,TRUE,Week 2,Day 4,2,3,3,TRUE,Week 5,Halfday 2,5,1,0,,module-1/week-2/canvas-basic-animations.md
Canvas | Codealong - Basic Animations,TRUE,Week 2,Day 4,2,3,4,TRUE,Week 5,Halfday 2,5,1,1,,module-1/week-2/canvas-basic-animations-codealong.md
LAB | Canvas Race Car,TRUE,Week 2,Day 4,2,3,5,TRUE,Week 5,Halfday 2,5,1,2,LAB,module-1/labs/lab-canvas-race-car.md
Lab review - reinforcement of Canvas concept,TRUE,Week 2,Day 5,2,4,0,TRUE,Week 5,Halfday 3,5,2,0,,module-1/week-1/canvas-reinforcement.md
Juice your game!,TRUE,Week 2,Day 5,2,4,1,TRUE,Week 5,Halfday 3,5,2,1,EXTRA,module-1/week-2/juice-your-game.md
Project planning session,TRUE,Week 2,Day 5,2,4,2,TRUE,Week 5,Halfday 3,5,2,2,RITUALS,other/project-planning.md
Bonus: Project Management,TRUE,Week 2,Day 5,2,4,3,TRUE,Week 5,Halfday 3,5,2,3,,module-1/week-2/self-guided/agile-kanban.md
VCS | Git and GitHub + GitHub Pages,TRUE,Week 2,Day 5,2,4,4,TRUE,Week 5,Halfday 3,5,2,4,,module-1/week-2/git-github-pages-deploy.md
Project #1 Guidelines: The Game,TRUE,Week 2,Day 5,2,4,5,TRUE,Week 5,Halfday 3,5,2,5,PROJECT,module-1/project-1.md
Bonus: Canvas | Transformations and Compositing,TRUE,Week 2,Day 5,2,4,6,TRUE,Week 5,Halfday 4,5,3,0,SELF_GUIDED,module-1/week-2/canvas-transformations-compositing.md
Bonus: Canvas | Advanced Animations,TRUE,Week 2,Day 5,2,4,7,TRUE,Week 5,Halfday 4,5,3,1,SELF_GUIDED,module-1/week-2/canvas-advanced-animations.md
Bonus: LAB | Canvas Flappy Birds,TRUE,Week 2,Day 5,2,4,8,TRUE,Week 5,Halfday 4,5,3,2,LAB,module-1/labs/lab-canvas-flappybirds.md
Stand ups,TRUE,Week 3,Day 1,3,0,0,TRUE,Week 6,Halfday 1,6,0,0,PROJECT,other/stand-ups.md
Code interview test: Anagrams,TRUE,Week 3,Day 1,3,0,1,TRUE,Week 6,Halfday 1,6,0,1,,module-1/week-3/kata-anagrams.md
Bonus: Structure your code,TRUE,Week 3,Day 1,3,0,2,TRUE,Week 6,Halfday 2,6,1,0,SELF_GUIDED,module-1/week-2/self-guided/js-good-patterns.md
Project development,TRUE,Week 3,Day 1,3,0,3,TRUE,Week 6,Halfday 2,6,1,1,PROJECT,other/project-dev.md
Stand ups,TRUE,Week 3,Day 2,3,1,0,TRUE,Week 6,Halfday 3,6,2,0,PROJECT,other/stand-ups.md
Code interview test: Clocky Mc Clock-Face,TRUE,Week 3,Day 2,3,1,1,TRUE,Week 6,Halfday 3,6,2,1,,module-1/week-3/kata-clocky-mc-clock-face.md
Bonus: Markdown and READMEs,TRUE,Week 3,Day 2,3,1,2,TRUE,Week 6,Halfday 4,6,3,0,SELF_GUIDED,module-1/week-2/self-guided/markdown-intro.md
Project development,TRUE,Week 3,Day 2,3,1,3,TRUE,Week 6,Halfday 4,6,3,1,PROJECT,other/project-dev.md
Stand ups,TRUE,Week 3,Day 3,3,2,0,TRUE,Week 7,Halfday 1,7,0,0,PROJECT,other/stand-ups.md
Code interview test: Sorting a 2D array,TRUE,Week 3,Day 3,3,2,1,TRUE,Week 7,Halfday 1,7,0,1,,module-1/week-3/kata-sorting-2d-array.md
Bonus: Advanced Command Line,TRUE,Week 3,Day 3,3,2,2,TRUE,Week 7,Halfday 1,7,0,2,SELF_GUIDED,module-1/week-1/self-guided/command-line.md
Project development,TRUE,Week 3,Day 3,3,2,3,TRUE,Week 7,Halfday 2,7,1,0,PROJECT,other/project-dev.md
Presentation practice (optional),TRUE,Week 3,Day 3,3,2,4,TRUE,Week 7,Halfday 2,7,1,1,PROJECT,other/presentations.md
Stand ups,TRUE,Week 3,Day 4,3,3,0,TRUE,Week 7,Halfday 3,7,2,0,PROJECT,other/stand-ups.md
Code interview test: TGI Friday!!,TRUE,Week 3,Day 4,3,3,1,TRUE,Week 7,Halfday 3,7,2,1,,module-1/week-3/kata-tgi-friday.md
Project development,TRUE,Week 3,Day 4,3,3,2,TRUE,Week 7,Halfday 4,7,3,0,PROJECT,other/project-dev.md
Presentation practice (mandatory),TRUE,Week 3,Day 4,3,3,3,TRUE,Week 7,Halfday 4,7,3,1,PROJECT,other/presentations.md
Project development,TRUE,Week 3,Day 5,3,4,0,TRUE,Week 8,Halfday 1,8,0,0,PROJECT,other/project-dev.md
Presentations - Project #1,TRUE,Week 3,Day 5,3,4,1,TRUE,Week 8,Halfday 2,8,1,0,,other/final-presentation.md
Project retrospective,TRUE,Week 4,Day 1,4,0,0,TRUE,Week 8,Halfday 3,8,2,0,RITUALS,other/project-retro.md
Project feedback,TRUE,Week 4,Day 1,4,0,1,TRUE,Week 8,Halfday 3,8,2,1,RITUALS,other/project-feedback.md
JS | Destructuring Assignment and Parameter Handling,TRUE,Week 4,Day 1,4,0,2,TRUE,Week 8,Halfday 3,8,2,2,,module-1/week-2/js-es6-advanced.md
ES6 | Promises,TRUE,Week 4,Day 1,4,0,3,TRUE,Week 8,Halfday 4,8,3,0,,module-2/week-4/js-es6-promises.md
LAB | #Promise me a dinner,TRUE,Week 4,Day 1,4,0,4,TRUE,Week 8,Halfday 4,8,3,1,LAB,module-2/labs/lab-es6-promises.md
LAB | ES6 JavaScript Koans,TRUE,Week 4,Day 1,4,0,5,TRUE,Week 8,Halfday 4,8,3,2,SELF_GUIDED,module-2/labs/lab-es6-javascript-koans.md
How the Internet works,TRUE,Week 4,Day 2,4,1,0,TRUE,Week 9,Halfday 1,9,0,0,,module-2/week-4/self-guided/how-does-the-internet-work.md
Node | Intro & Installation,TRUE,Week 4,Day 2,4,1,1,TRUE,Week 9,Halfday 1,9,0,1,,module-2/week-4/node-npm-intro.md
Node | The Internet & HTTP Server,TRUE,Week 4,Day 2,4,1,2,TRUE,Week 9,Halfday 1,9,0,2,,module-2/week-4/node-http.md
LAB | Intro Node,TRUE,Week 4,Day 2,4,1,3,TRUE,Week 9,Halfday 1,9,0,3,LAB,module-2/labs/lab-intro-node.md
Express | Introduction,TRUE,Week 4,Day 2,4,1,4,TRUE,Week 9,Halfday 2,9,1,0,,module-2/week-4/express-intro.md
LAB | Express Basic Site,TRUE,Week 4,Day 2,4,1,5,TRUE,Week 9,Halfday 2,9,1,1,LAB,module-2/labs/lab-express-basic-site.md
Express | Dynamic Views,TRUE,Week 4,Day 3,4,2,0,TRUE,Week 9,Halfday 3,9,2,0,,module-2/week-4/express-dynamic-views.md
Express | Layouts & Partials,TRUE,Week 4,Day 3,4,2,1,TRUE,Week 9,Halfday 3,9,2,1,,module-2/week-4/express-layouts.md
What is an API?,TRUE,Week 4,Day 3,4,2,2,TRUE,Week 9,Halfday 3,9,2,2,,module-2/week-5/api-microservices.md
