name,active,seq,vert,seq_index,vert_index,order,tag,file,deliverable_display_name,deliverable_identifier,deliverable_description,deliverable_duedate
Code of Conduct during the bootcamp,FALSE,Tips & tricks for success,Info tabs,0,0,0,EXTRA,info/code-of-conduct.md,,,,
Link to  the GitHub class organization,TRUE,Tips & tricks for success,Info tabs,0,0,1,EXTRA,info/gh-class-rg.m,,,,
Guidelines on how to submit the labs,TRUE,Tips & tricks for success,Info tabs,0,0,2,EXTRA,info/guidelines-labs.md,,,,
No class dates,TRUE,Tips & tricks for success,Info tabs,0,0,3,EXTRA,info/no-class-dates.md,,,,
Contactss,TRUE,Tips & tricks for success,Info tabs,0,0,4,EXTRA,info/contacts.md,,,,
Career Services,FALSE,Tips & tricks for success,Info tabs,0,0,5,EXTRA,info/career.md,,,,
Technical interview prep,TRUE,Tips & tricks for success,Info tabs,0,0,6,EXTRA,other/tech-interviews.md,,,,
Upcoming events,FALSE,Tips & tricks for success,Info tabs,0,0,7,EXTRA,info/events.md,,,,
Time distribution,TRUE,Tips & tricks for success,Module 1,0,1,0,EXTRA,info/pt-time-dist-m1.md,,,,
Module 1 - topics - overview,TRUE,Tips & tricks for success,Module 1,0,1,1,EXTRA,info/topics-m1.md,,,,
Expectations,TRUE,Tips & tricks for success,Module 1,0,1,2,EXTRA,info/expectations.md,,,,
Requirements for win-win,TRUE,Tips & tricks for success,Module 1,0,1,3,EXTRA,info/requirements-m1.md,,,,
Time distribution,TRUE,Tips & tricks for success,Module 2,0,2,0,EXTRA,info/pt-time-dist-m2.md,,,,
Module 2 - topics - overview,TRUE,Tips & tricks for success,Module 2,0,2,1,EXTRA,info/topics-m2.md,,,,
Expectations,TRUE,Tips & tricks for success,Module 2,0,2,2,EXTRA,info/expectations.md,,,,
Requirements for win-win,TRUE,Tips & tricks for success,Module 2,0,2,3,EXTRA,info/requirements-m2.md,,,,
Time distribution,TRUE,Tips & tricks for success,Module 3,0,3,0,EXTRA,info/pt-time-dist-m3.md,,,,
Module 3 - topics - overview,TRUE,Tips & tricks for success,Module 3,0,3,1,EXTRA,info/topics-m3.md,,,,
Expectations,TRUE,Tips & tricks for success,Module 3,0,3,2,EXTRA,info/expectations.md,,,,
Requirements for win-win,TRUE,Tips & tricks for success,Module 3,0,3,3,EXTRA,info/requirements-m3.md,,,,
Welcome to Ironhack,TRUE,Week 1,Halfday 1,2,0,0,EXTRA,md/welcome-pt.md,,,,
JS | JavaScript Intro,TRUE,Week 1,Halfday 1,1,0,1,,module-1/week-1/js-intro.md,,,,
JS | Data Types in JavaScript - number & string,TRUE,Week 1,Halfday 1,1,0,2,,module-1/week-1/js-datatypes-1.md,,,,
Replay,FALSE,Week 1,Halfday 1,1,0,3,EXTRA,md/replay-w1h1.md,,,,
JS | Numbers as Data Types - Advanced Topics,TRUE,Week 1,Halfday 1,1,0,4,SELF_GUIDED,module-1/week-1/numbers-advanced.md,,,,
"JS | Data Types in JavaScript - boolean, undefined & null and Immutability",TRUE,Week 1,Halfday 2,1,1,0,,module-1/week-1/js-datatypes-2.md,,,,
JS | Conditionals and Loops,TRUE,Week 1,Halfday 2,1,1,1,,module-1/week-1/js-conditionals-loops.md,,,,
VCS | Git Intro,TRUE,Week 1,Halfday 2,1,1,2,,module-1/week-1/self-guided/git-intro.md,,,,
Pair Programming Introduction,TRUE,Week 1,Halfday 2,1,1,3,,module-1/week-1/self-guided/pair-programming.md,,,,
Collaborate on a LAB,TRUE,Week 1,Halfday 2,1,1,4,SELF_GUIDED,md/collaborate-on-lab.md,,,,
LAB | JavaScript Basic Algorithms,TRUE,Week 1,Halfday 2,1,1,5,LAB,module-1/labs/lab-javascript-basic-algorithms.md,basic-algorithms,lab-javascript-basic-algorithms,Submit the url to your work here.,
JS | Functions Intro,TRUE,Week 1,Halfday 3,1,2,0,,module-1/week-1/js-functions-intro.md,,,,
JS | Data Types in JavaScript - Arrays,TRUE,Week 1,Halfday 3,1,2,1,,module-1/week-1/js-arrays.md,,,,
LAB | JavaScript Functions and Arrays,TRUE,Week 1,Halfday 3,1,2,3,LAB,module-1/labs/lab-javascript-functions-and-arrays.md,,,,
Replay,FALSE,Week 1,Halfday 3,1,2,4,EXTRA,md/replay-w1h3.md,,,,
HTML | Introduction,TRUE,Week 1,Halfday 4,1,3,0,,module-1/week-1/html-intro.md,,,,
CSS | Intro & Selectors,TRUE,Week 1,Halfday 4,1,3,1,,module-1/week-1/css-intro.md,,,,
LAB | CSS Recipes clone,TRUE,Week 1,Halfday 4,1,3,2,LAB,module-1/labs/lab-css-recipes-clone.md,,,,
Replay,FALSE,Week 1,Halfday 4,1,3,3,EXTRA,md/replay-w1h4.md,,,,
CodeWars - Intro,TRUE,Week 1,Halfday 4,1,3,4,KATA,module-1/week-1/self-guided/codewars.md,,,,
Survey,TRUE,Week 2,Halfday 1,2,0,0,RITUALS,md/survey.md,,,,
LAB Review | JavaScript Basic Algorithms ,FALSE,Week 2,Halfday 1,2,0,1,RITUALS,md/labreview-javascript-basic-algorithms.md,,,,
JS | Data Types in JavaScript - Objects,TRUE,Week 2,Halfday 1,2,0,2,,module-1/week-1/js-objects.md,,,,
JS | Arrays & Objects,TRUE,Week 2,Halfday 1,2,0,3,,module-1/week-1/js-objects-arrays.md,,,,
LAB | JavaScript Clue,TRUE,Week 2,Halfday 1,2,0,4,LAB,module-1/labs/lab-javascript-clue.md,,,,
Replay,FALSE,Week 2,Halfday 1,2,0,5,EXTRA,md/replay-w2h1.md,,,,
Katas,TRUE,Week 2,Halfday 1,2,0,6,KATA,md/kata-01.md,,,,
LAB Review | JavaScript Functions and Arrays,FALSE,Week 2,Halfday 2,2,1,0,RITUALS,md/labreview-javascript-functions-and-arrays.md,,,,
CSS | Advanced Selectors,TRUE,Week 2,Halfday 2,2,1,1,,module-1/week-1/css-advanced-selectors.md,,,,
CSS | Transitions & Animations,TRUE,Week 2,Halfday 2,2,1,2,,module-1/week-1/css-transitions-animations.md,,,,
LAB | CSS Spotify clone,TRUE,Week 2,Halfday 2,2,1,3,LAB,module-1/labs/lab-css-spotify-clone.md,,,,
Replay,FALSE,Week 2,Halfday 2,2,1,4,EXTRA,md/replay-w2h2.md,,,,
CodeWars,FALSE,Week 2,Halfday 3,2,2,0,KATA,module-1/week-1/self-guided/codewars.md,,,,
LAB Review | CSS Recipes clone,FALSE,Week 2,Halfday 3,2,2,1,RITUALS,md/labreview-css-recipes-clone.md,,,,
JS | Functions Advanced,TRUE,Week 2,Halfday 3,2,2,2,,module-1/week-1/js-functions-advanced.md,,,,
"JS | Arrays - Map, Reduce & Filter",TRUE,Week 2,Halfday 3,2,2,3,,module-1/week-1/js-arrays-filter-map-reduce.md,,,,
Replay,FALSE,Week 2,Halfday 3,2,2,4,EXTRA,md/replay-w2h3.md,,,,
JS | Arrays - Sort & Reverse,TRUE,Week 2,Halfday 4,2,3,0,,module-1/week-1/js-arrays-sort-reverse.md,,,,
LAB | Greatest movies of all time,TRUE,Week 2,Halfday 4,2,3,1,LAB,module-1/labs/lab-javascript-greatest-movies.md,,,,
Replay,FALSE,Week 2,Halfday 4,2,3,2,EXTRA,md/replay-w2h4.md,,,,
JS | Value vs Reference and Mutable Data Types,TRUE,Week 2,Halfday 4,2,3,3,SELF_GUIDED,module-1/week-1/value-reference-mutability.md,,,,
Survey,TRUE,Week 3,Halfday 1,3,0,0,RITUALS,md/survey.md,,,,
Keyboard Tips and Tricks,TRUE,Week 3,Halfday 1,3,0,1,EXTRA,md/keyboard.md,,,,
LAB Review | JavaScript Clue,FALSE,Week 3,Halfday 1,3,0,2,RITUALS,md/labreview-javascript-clue.md,,,,
"JS | OOP - objects, methods and the 'this' keyword",TRUE,Week 3,Halfday 1,3,0,3,,module-1/week-1/js-oop-1.md,,,,
JS | OOP - class and inheritance,TRUE,Week 3,Halfday 1,3,0,4,,module-1/week-1/js-oop-2.md,,,,
Replay,FALSE,Week 3,Halfday 1,3,0,5,EXTRA,md/replay-w3h1.md,,,,
JS | OOP - Function constructor vs. Class,TRUE,Week 3,Halfday 1,3,0,5,SELF_GUIDED,module-1/week-1/js-oop-3.md,,,,
Katas,TRUE,Week 3,Halfday 1,3,0,6,KATA,md/kata-02.md,,,,
Career Services introduction,TRUE,Week 3,Halfday 2,3,1,0,EXTRA,md/career-intro.md,,,,
LAB Review | CSS Spotify clone,FALSE,Week 3,Halfday 2,3,1,1,RITUALS,md/labreview-css-spotify-clone.md,,,,
LAB | JavaScript Vikings,TRUE,Week 3,Halfday 2,3,1,2,LAB,module-1/labs/lab-javascript-vikings.md,,,,
Reinforcement session,TRUE,Week 3,Halfday 2,3,1,3,,module-1/week-1/recap.md,,,,
Replay,FALSE,Week 3,Halfday 2,3,1,4,EXTRA,md/replay-w3h2.md,,,,
Semi-module retrospective,TRUE,Week 3,Halfday 2,3,1,5,,other/module-retro.md',,,,
LAB Review | Greatest movies of all time,FALSE,Week 3,Halfday 3,3,2,0,RITUALS,md/labreview-javascript-greatest-movies.md,,,,
Survey,TRUE,Week 3,Halfday 3,3,2,1,RITUALS,md/survey.md,,,,
CSS | Box Model,TRUE,Week 3,Halfday 3,3,2,2,,module-1/week-1/css-box-model.md,,,,
Bonus: CSS | Positioning,TRUE,Week 3,Halfday 3,3,2,3,SELF_GUIDED,module-1/week-1/css-positioning.md,,,,
CSS | Responsive Web Design,TRUE,Week 3,Halfday 3,3,2,4,,module-1/week-1/css-responsive-design.md,,,,
CSS | Positioning and Flexbox,TRUE,Week 3,Halfday 3,3,2,5,,module-0-prework/02-html-css/14-css-positioning-flexbox.md,,,,
CSS | Flexbox,FALSE,Week 3,Halfday 3,3,2,6,,module-1/week-1/css-flexbox.md,,,,
LAB | CSS Instagram clone,TRUE,Week 3,Halfday 3,3,2,7,LAB,module-1/labs/lab-css-instagram-clone.md,,,,
Replay,FALSE,Week 3,Halfday 3,3,2,8,EXTRA,md/replay-w3h3.md,,,,
Bonus: LAB | CSS Flexbox Slack,TRUE,Week 3,Halfday 3,3,2,9,SELF_GUIDED,module-1/labs/lab-css-flexbox-slack.md,,,,
LAB Review | JavaScript Vikings,FALSE,Week 3,Halfday 4,3,3,0,RITUALS,md/labreview-javascript-vikings.md,,,,
JS | Async & Callbacks,TRUE,Week 3,Halfday 4,3,3,1,,module-1/week-2/js-async-callbacks.md,,,,
LAB | JavaScript Chronometer,TRUE,Week 3,Halfday 4,3,3,2,LAB,module-1/labs/lab-javascript-chronometer.md,,,,
Katas,TRUE,Week 3,Halfday 4,3,3,3,KATA,md/kata-03.md,,,,
Replay,FALSE,Week 3,Halfday 4,3,3,4,EXTRA,md/replay-w3h4.md,,,,
Bonus: LAB | JavaScript Koans,TRUE,Week 3,Halfday 4,3,3,5,SELF_GUIDED,module-1/labs/lab-javascript-koans.md,,,,
Bonus: JS | Context & Function invocation,TRUE,Week 3,Halfday 4,3,3,6,SELF_GUIDED,module-1/week-2/js-context-function-invocation.md,,,,
LAB Review | CSS Instagram clone,FALSE,Week 4,Halfday 1,4,0,0,RITUALS,md/labreview-css-instagram-clone.md,,,,
DOM | Introduction & Selectors,TRUE,Week 4,Halfday 1,4,0,1,,module-1/week-1/dom-introduction-selectors.md,,,,
DOM | Manipulation,TRUE,Week 4,Halfday 1,4,0,2,,module-1/week-1/dom-manipulation.md,,,,
LAB | JavaScript Chronometer,TRUE,Week 4,Halfday 1,4,0,3,LAB,module-1/labs/lab-javascript-chronometer.md,,,,
Replay,FALSE,Week 4,Halfday 1,4,0,4,EXTRA,md/replay-w4h1.md,,,,
Bonus: DOM | Simon Game,TRUE,Week 4,Halfday 1,4,0,5,SELF_GUIDED,module-1/week-2/simon-game.md,,,,
"JS | Variable scope, hoisting and shadowing",TRUE,Week 4,Halfday 2,4,1,1,,module-1/week-2/js-scope-hoist-shadow.md,,,,
LAB | DOM Ironhack Cart,TRUE,Week 4,Halfday 2,4,1,2,LAB,module-1/labs/lab-dom-ironhack-cart.md,,,,
JS | Testing & Jasmine,TRUE,Week 4,Halfday 2,4,1,3,SELF_GUIDED,module-1/week-2/js-testing-jasmine.md,,,,
JS | Intro to testing with Jasmine,TRUE,Week 4,Halfday 2,4,1,4,EXTRA,module-1/labs/lab-testing-jasmine.md,,,,
Bonus: LAB | JavaScript Advanced Algorithms,TRUE,Week 4,Halfday 2,4,1,5,SELF_GUIDED,module-1/labs/lab-javascript-advanced-algorithms.md,,,,
Survey,TRUE,Week 4,Halfday 3,4,2,0,RITUALS,md/survey.md,,,,
"JS | Debugging, Error Handling and JS Hint",TRUE,Week 4,Halfday 3,4,2,1,,module-1/week-2/js-debugging.md,,,,
Reinforcement - DOM: LAB | DOM Pizza Builder,TRUE,Week 4,Halfday 3,4,2,2,LAB,module-1/labs/lab-dom-pizza-builder.md,,,,
Replay,FALSE,Week 4,Halfday 3,4,2,3,EXTRA,md/replay-w4h3.md,,,,
CSS | Bootstrap Docs,FALSE,Week 4,Halfday 3,4,2,4,,module-1/week-2/css-bootstrap-intro.md,,,,
Bonus: CSS - Style Normalizing & Grid Systems,TRUE,Week 4,Halfday 3,4,2,5,SELF_GUIDED,module-1/week-2/css-grid-systems.md,,,,
LAB | Bootstrap Cloning Revera,FALSE,Week 4,Halfday 3,4,2,6,LAB,module-1/labs/lab-bootstrap-cloning-revera.md,,,,
LAB Review | Javascript Chronometer,FALSE,Week 4,Halfday 4,4,3,0,RITUALS,md/labreview-javascript-chronometer.md,,,,
LAB Review | DOM Ironhack Cart,FALSE,Week 4,Halfday 4,4,3,1,RITUALS,md/labreview-dom-ironhack-cart.md,,,,
Lab review - reinforcement of DOM manipulation concept,TRUE,Week 4,Halfday 4,4,3,2,,module-1/week-1/dom-reinforcement.md,,,,
Reinforcement - OOP: LAB | JavaScript Memory Game,TRUE,Week 4,Halfday 4,4,3,3,LAB,module-1/labs/lab-javascript-memory-game.md,,,,
Replay,FALSE,Week 4,Halfday 4,4,3,4,EXTRA,md/replay-w4h4.md,,,,
Survey,TRUE,Week 5,Halfday 1,5,0,0,RITUALS,md/survey.md,,,,
Talk alumni,TRUE,Week 5,Halfday 1,5,0,1,EXTRA,md/talk01.md,,,,
LAB Review | DOM Pizza Builder,FALSE,Week 5,Halfday 1,5,0,2,RITUALS,md/labreview-dom-pizza-builder.md,,,,
Bonus: LAB ironmole,TRUE,Week 5,Halfday 1,5,0,3,EXTRA,md/lab-dom-ironmole.md,,,,
Canvas | Intro & Basic Drawing,TRUE,Week 5,Halfday 1,5,0,4,,module-1/week-2/canvas-intro.md,,,,
Replay,FALSE,Week 5,Halfday 1,5,0,5,EXTRA,md/replay-w5h1.md,,,,
LAB Review | Javascript Memory Game,FALSE,Week 5,Halfday 2,5,1,0,RITUALS,md/labreview-javascript-memory-game.md,,,,
"Canvas | Styling, Text and Images",TRUE,Week 5,Halfday 2,5,1,1,,module-1/week-2/canvas-drawing-text-styles.md,,,,
LAB | Canvas Hangman,TRUE,Week 5,Halfday 2,5,1,2,LAB,module-1/labs/lab-canvas-hangman.md,,,,
Replay,FALSE,Week 5,Halfday 2,5,1,3,EXTRA,md/replay-w5h2.md,,,,
Canvas | Basic Animations,TRUE,Week 5,Halfday 3,5,2,0,,module-1/week-2/canvas-basic-animations.md,,,,
Canvas | Codealong - Basic Animations,TRUE,Week 5,Halfday 3,5,2,1,,module-1/week-2/canvas-basic-animations-codealong.md,,,,
LAB | Canvas Race Car,TRUE,Week 5,Halfday 3,5,2,2,LAB,module-1/labs/lab-canvas-race-car.md,,,,
Replay,FALSE,Week 5,Halfday 3,5,2,3,EXTRA,md/replay-w5h3.md,,,,
Lab review - reinforcement of Canvas concept,TRUE,Week 5,Halfday 3,5,2,4,,module-1/week-1/canvas-reinforcement.md,,,,
Project #1 Guidelines: The Game,TRUE,Week 5,Halfday 3,5,2,5,PROJECT,module-1/project-1.md,,,,
Juice your game!,TRUE,Week 5,Halfday 3,5,2,6,EXTRA,module-1/week-2/juice-your-game.md,,,,
Project planning session,TRUE,Week 5,Halfday 3,5,2,7,RITUALS,other/project-planning.md,,,,
Bonus: Project Management,TRUE,Week 5,Halfday 3,5,2,8,,module-1/week-2/self-guided/agile-kanban.md,,,,
VCS | Git and GitHub + GitHub Pages,TRUE,Week 5,Halfday 3,5,2,9,,module-1/week-2/git-github-pages-deploy.md,,,,
Bonus: Canvas | Transformations and Compositing,TRUE,Week 5,Halfday 4,5,3,0,SELF_GUIDED,module-1/week-2/canvas-transformations-compositing.md,,,,
Bonus: Canvas | Advanced Animations,TRUE,Week 5,Halfday 4,5,3,1,SELF_GUIDED,module-1/week-2/canvas-advanced-animations.md,,,,
Bonus: LAB | Canvas Flappy Birds,TRUE,Week 5,Halfday 4,5,3,2,LAB,module-1/labs/lab-canvas-flappybirds.md,,,,
LAB Review | Canvas Hangman,FALSE,Week 6,Halfday 1,6,0,0,RITUALS,md/labreview-canvas-hangman.md,,,,
Stand ups,TRUE,Week 6,Halfday 1,6,0,1,PROJECT,other/stand-ups.md,,,,
Code interview test: Anagrams,TRUE,Week 6,Halfday 1,6,0,2,,module-1/week-3/kata-anagrams.md,,,,
LAB Review | Canvas Race Car,FALSE,Week 6,Halfday 2,6,1,0,RITUALS,md/labreview-canvas-race-car.md,,,,
Bonus: Structure your code,FALSE,Week 6,Halfday 2,6,1,1,SELF_GUIDED,module-1/week-2/self-guided/js-good-patterns.md,,,,
Project development,TRUE,Week 6,Halfday 2,6,1,2,PROJECT,other/project-dev.md,,,,
Stand ups,TRUE,Week 6,Halfday 3,6,2,0,PROJECT,other/stand-ups.md,,,,
Code interview test: Clocky Mc Clock-Face,TRUE,Week 6,Halfday 3,6,2,1,,module-1/week-3/kata-clocky-mc-clock-face.md,,,,
Survey,TRUE,Week 6,Halfday 4,6,3,0,RITUALS,md/survey.md,,,,
Bonus: Markdown and READMEs,TRUE,Week 6,Halfday 4,6,3,0,SELF_GUIDED,module-1/week-2/self-guided/markdown-intro.md,,,,
Project development,TRUE,Week 6,Halfday 4,6,3,1,PROJECT,other/project-dev.md,,,,
Stand ups,TRUE,Week 7,Halfday 1,7,0,1,PROJECT,other/stand-ups.md,,,,
Code interview test: Sorting a 2D array,TRUE,Week 7,Halfday 1,7,0,2,,module-1/week-3/kata-sorting-2d-array.md,,,,
Bonus: Advanced Command Line,TRUE,Week 7,Halfday 1,7,0,3,SELF_GUIDED,module-1/week-1/self-guided/command-line.md,,,,
Project development,TRUE,Week 7,Halfday 2,7,1,0,PROJECT,other/project-dev.md,,,,
Presentation practice (optional),TRUE,Week 7,Halfday 2,7,1,1,PROJECT,other/presentations.md,,,,
Stand ups,TRUE,Week 7,Halfday 3,7,2,0,PROJECT,other/stand-ups.md,,,,
Code interview test: TGI Friday!!,TRUE,Week 7,Halfday 3,7,2,1,,module-1/week-3/kata-tgi-friday.md,,,,
Survey,TRUE,Week 7,Halfday 4,7,3,0,RITUALS,md/survey.md,,,,
Project development,TRUE,Week 7,Halfday 4,7,3,0,PROJECT,other/project-dev.md,,,,
Presentation practice (mandatory),TRUE,Week 7,Halfday 4,7,3,1,PROJECT,other/presentations.md,,,,
Project development,TRUE,Week 8,Halfday 1,8,0,1,PROJECT,other/project-dev.md,,,,
Presentations - Project #1,TRUE,Week 8,Halfday 2,8,1,0,,other/final-presentation.md,,,,
Votes and medalists,TRUE,Week 8,Halfday 2,8,1,,RITUALS,md/votes-and-medalist-project1.md,,,,
Replay,FALSE,Week 8,Halfday 2,8,1,,EXTRA,md/replay-w8h2.md,,,,
Project retrospective,TRUE,Week 8,Halfday 3,8,2,0,RITUALS,other/project-retro.md,,,,
Project feedback,TRUE,Week 8,Halfday 3,8,2,1,RITUALS,other/project-feedback.md,,,,
JS | Destructuring Assignment and Parameter Handling,TRUE,Week 8,Halfday 3,8,2,2,,module-1/week-2/js-es6-advanced.md,,,,
Survey,TRUE,Week 8,Halfday 4,8,3,0,RITUALS,md/survey.md,,,,
1on1s,TRUE,Week 8,Halfday 4,8,3,1,RITUALS,md/1on1s-01.md,,,,
Katas,TRUE,Week 8,Halfday 4,8,3,2,RITUALS,md/kata-04.md,,,,
ES6 | Promises,TRUE,Week 8,Halfday 4,8,3,3,,module-2/week-4/js-es6-promises.md,,,,
LAB | #Promise me a dinner,FALSE,Week 8,Halfday 4,8,3,4,LAB,module-2/labs/lab-es6-promises.md,,,,
Reinforcements,FALSE,Week 8,Halfday 4,8,3,5,EXTRA,md/reinforcements-01.md,,,,
LAB | ES6 JavaScript Koans,TRUE,Week 8,Halfday 4,8,3,6,SELF_GUIDED,module-2/labs/lab-es6-javascript-koans.md,,,,
How the Internet works,TRUE,Week 9,Halfday 1,9,0,1,,module-2/week-4/self-guided/how-does-the-internet-work.md,,,,
Node | The Internet & HTTP Server,TRUE,Week 9,Halfday 1,9,0,2,,module-2/week-4/node-http.md,,,,
Node | Intro & Installation,TRUE,Week 9,Halfday 1,9,0,3,,module-2/week-4/node-npm-intro.md,,,,
LAB | Intro Node,TRUE,Week 9,Halfday 1,9,0,4,LAB,module-2/labs/lab-intro-node.md,,,,
Replay,FALSE,Week 9,Halfday 1,9,0,5,RITUALS,md/replay-w9h1.md,,,,
Express | Introduction,TRUE,Week 9,Halfday 2,9,1,0,,module-2/week-4/express-intro.md,,,,
LAB | Express Basic Site,TRUE,Week 9,Halfday 2,9,1,1,LAB,module-2/labs/lab-express-basic-site.md,,,,
Replay,FALSE,Week 9,Halfday 2,9,1,2,RITUALS,md/replay-w9h2.md,,,,
Express | Dynamic Views,TRUE,Week 9,Halfday 3,9,2,0,,module-2/week-4/express-dynamic-views.md,,,,
Express | Layouts & Partials,TRUE,Week 9,Halfday 3,9,2,1,,module-2/week-4/express-layouts.md,,,,
What is an API?,TRUE,Week 9,Halfday 3,9,2,2,,module-2/week-5/api-microservices.md,,,,
LAB | IronBeers,TRUE,Week 9,Halfday 3,9,2,3,LAB,module-2/labs/lab-ironbeers.md,,,,
Replay,FALSE,Week 9,Halfday 3,9,2,4,RITUALS,md/replay-w9h3.md,,,,
Survey,TRUE,Week 9,Halfday 4,9,3,0,RITUALS,md/survey.md,,,,
LAB Review | Intro Node,FALSE,Week 9,Halfday 4,9,3,1,RITUALS,md/labreview-intro-node.md,,,,
Kata Review,TRUE,Week 9,Halfday 4,9,3,2,RITUALS,md/katareview01.md,,,,
Protip 01,TRUE,Week 9,Halfday 4,9,3,3,RITUALS,md/protip01.md,,,,
MongoDB | Introduction,TRUE,Week 9,Halfday 4,9,3,4,,module-2/week-4/mongo-intro.md,,,,
